Depth (m),qc (MPa),fs (kPa),u (kPa),Other,qt (MPa),Rf (%),SBT,Ic SBT,γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',vo (kPa)",Qt1,Fr (%),Bq,SBTn,n,Cn,Ic,Qtn,U2,I(B),Mod. SBTn
22.275,4.18475,66.91,1093.91,4403.4,4.33,1.54,5,2.32,19,423.23,61.07,362.16,10.79,1.71,0.24,4,1,0.28,2.84,10.79,2.61,23.5,4
22.3,4.55798,66.71,860.04,4729.89,4.65,1.47,5,2.28,19,423.7,61.31,362.39,11.67,1.62,0.21,4,1,0.28,2.8,11.67,2.51,24.36,4
22.325,4.62869,72.09,955.89,4819.75,4.9,1.46,5,2.26,19,424.18,61.56,362.62,12.35,1.6,0.2,4,1,0.28,2.77,12.35,2.45,24.9,4
22.35,4.94822,76.07,1037.21,5155.54,5.25,1.38,5,2.22,19,424.65,61.8,362.85,13.3,1.5,0.2,4,1,0.28,2.73,13.3,2.6,25.91,4
22.375,5.56846,68.54,1022.1,5772.76,5.65,1.26,5,2.17,19,425.13,62.05,363.08,14.38,1.36,0.16,4,1,0.28,2.68,14.38,2.31,27.23,4
22.4,5.88317,68.34,639.71,6011.04,5.88,1.01,5,2.1,19,425.6,62.29,363.31,15.02,1.08,0.13,4,1,0.28,2.61,15.02,1.93,29,4
22.425,5.73906,40.51,625.09,5864,5.89,0.77,6,2.03,19,426.08,62.54,363.54,15.03,0.83,0.11,5,1,0.28,2.56,15.03,1.62,30.37,4
22.45,5.65731,26.59,693.37,5795.9,5.82,0.5,6,1.94,19,426.55,62.78,363.77,14.84,0.54,0.12,5,0.98,0.28,2.47,15.32,1.8,32.38,6
22.475,5.64469,19.63,834.73,5811.54,5.84,0.36,6,1.88,19,427.03,63.03,364,14.87,0.38,0.13,5,0.95,0.29,2.41,15.83,1.96,33.95,6
22.5,5.74558,16.15,803.24,5906.13,5.8,0.29,6,1.84,19,427.5,63.27,364.23,14.75,0.31,0.14,5,0.94,0.3,2.38,15.99,2.06,34.67,6
22.525,5.52612,14.41,803.24,5686.67,5.75,0.25,6,1.82,19,427.98,63.52,364.46,14.6,0.27,0.16,5,0.93,0.3,2.36,15.96,2.4,34.93,6
22.55,5.41625,12.67,1213.1,5658.73,5.67,0.25,6,1.83,19,428.45,63.77,364.69,14.37,0.27,0.21,5,0.93,0.3,2.36,15.65,3.02,34.59,6
22.575,5.36124,14.69,1481.7,5657.4,5.68,0.27,6,1.84,19,428.93,64.01,364.91,14.4,0.29,0.29,5,0.94,0.3,2.38,15.58,4.11,34.31,6
22.6,5.33445,18.76,1995.94,5733.4,5.68,0.33,6,1.87,19,429.4,64.26,365.14,14.39,0.36,0.32,5,0.95,0.29,2.41,15.28,4.59,33.5,6
22.625,5.30741,22.84,1745.59,5656.32,5.81,0.4,6,1.9,19,429.88,64.5,365.37,14.72,0.44,0.29,5,0.96,0.29,2.44,15.44,4.24,33.15,6
22.65,5.81164,28.83,1098.23,6031.16,5.88,0.48,6,1.93,19,430.35,64.75,365.6,14.92,0.52,0.2,5,0.97,0.28,2.47,15.44,3.04,32.58,6
22.675,5.83012,33.93,682.48,5966.54,5.82,0.57,6,1.97,19,430.83,64.99,365.83,14.74,0.61,0.14,5,0.99,0.28,2.51,14.97,2,31.55,4
22.7,5.35127,36.16,607.73,5472.74,5.44,0.68,6,2.03,19,431.3,65.24,366.06,13.68,0.73,0.11,5,1,0.27,2.57,13.68,1.51,29.58,4
22.725,4.76264,40.31,565.25,4875.62,4.93,0.82,5,2.11,19,431.78,65.48,366.29,12.28,0.9,0.11,4,1,0.27,2.66,12.28,1.4,27.48,4
22.75,4.33277,45.45,560.94,4444.89,4.51,0.97,5,2.19,19,432.25,65.73,366.52,11.13,1.08,0.14,4,1,0.27,2.73,11.13,1.59,25.77,4
22.775,4.04709,45.82,818.35,4210.66,4.28,1.09,5,2.23,19,432.73,65.97,366.75,10.5,1.21,0.18,4,1,0.27,2.77,10.5,1.92,24.79,4
22.8,4.01218,48.48,928.61,4197.79,4.23,1.15,5,2.25,19,433.2,66.22,366.98,10.33,1.28,0.21,4,1,0.27,2.79,10.33,2.21,24.43,4
22.825,4.08959,51.38,888.49,4267.18,4.37,1.18,5,2.24,19,433.68,66.46,367.21,10.73,1.3,0.21,4,1,0.27,2.78,10.73,2.26,24.67,4
22.85,4.4781,54.33,869.07,4651.81,4.49,1.23,5,2.25,19,434.15,66.71,367.44,11.02,1.36,0.19,4,1,0.27,2.78,11.02,2.13,24.72,4
22.875,4.37766,60.15,793.43,4536.25,4.59,1.28,5,2.25,19,434.63,66.95,367.67,11.31,1.41,0.17,4,1,0.27,2.78,11.31,1.96,24.79,4
22.9,4.4479,61.35,701.51,4588.12,4.58,1.28,5,2.25,19,435.1,67.2,367.9,11.26,1.42,0.16,4,1,0.27,2.78,11.26,1.84,24.73,4
22.925,4.46325,54.99,734.67,4610.1,4.48,1.26,5,2.25,19,435.58,67.44,368.13,11,1.39,0.17,4,1,0.27,2.79,11,1.86,24.61,4
22.95,4.08981,52.85,819.43,4253.6,4.29,1.24,5,2.26,19,436.05,67.69,368.36,10.47,1.38,0.2,4,1,0.27,2.8,10.47,2.12,24.22,4
22.975,3.81253,52.33,991.2,4010.65,4.05,1.27,5,2.29,19,436.53,67.93,368.59,9.8,1.42,0.26,4,1,0.27,2.83,9.8,2.56,23.58,1
23,3.63691,49.18,1227.62,3882.29,3.97,1.28,5,2.3,19,437,68.18,368.82,9.57,1.44,0.31,4,1,0.27,2.85,9.57,2.98,23.36,1
23.025,3.75503,51.06,1284.52,4011.78,4.04,1.28,5,2.29,19,437.48,68.42,369.05,9.75,1.44,0.34,4,1,0.27,2.84,9.75,3.34,23.5,1
23.05,3.93459,55.19,1387.33,4211.89,4.15,1.18,5,2.26,19,437.95,68.67,369.28,10.05,1.32,0.35,4,1,0.27,2.81,10.05,3.53,24.07,4
23.075,3.93372,40.99,1441.78,4221.9,4.24,1.14,5,2.25,19,438.43,68.92,369.51,10.3,1.27,0.35,4,1,0.27,2.79,10.3,3.62,24.43,4
23.1,4.01729,49,1394.98,4296.12,4.23,1.12,5,2.24,19,438.9,69.16,369.74,10.26,1.25,0.34,4,1,0.27,2.79,10.26,3.45,24.45,4
23.125,3.93893,52.59,1195.35,4177.86,4.21,1.26,5,2.27,19,439.38,69.41,369.97,10.2,1.41,0.33,4,1,0.27,2.82,10.2,3.41,23.95,4
23.15,3.88223,57.58,1397.24,4161.51,4.31,1.31,5,2.28,19,439.85,69.65,370.2,10.45,1.46,0.33,4,1,0.27,2.82,10.45,3.49,23.97,4
23.175,4.28195,59.57,1492.4,4580.25,4.45,1.34,5,2.27,19,440.33,69.9,370.43,10.82,1.49,0.33,4,1,0.27,2.81,10.82,3.56,24.19,4
23.2,4.34567,61.41,1272.46,4600.01,4.51,1.31,5,2.26,19,440.8,70.14,370.66,10.97,1.45,0.31,4,1,0.27,2.8,10.97,3.38,24.4,4
23.225,4.1002,56.27,1205.35,4341.13,4.33,1.35,5,2.28,19,441.28,70.39,370.89,10.49,1.5,0.29,4,1,0.27,2.82,10.49,3.04,23.9,4
23.25,3.8324,57.33,1120.11,4056.29,4.13,1.38,5,2.3,19,441.75,70.63,371.12,9.95,1.54,0.3,4,1,0.27,2.85,9.95,3.01,23.37,1
23.275,3.75545,57.34,1237.63,4002.83,4.07,1.41,5,2.32,19,442.23,70.88,371.35,9.76,1.58,0.31,4,1,0.27,2.86,9.76,3.03,23.12,1
23.3,3.89016,57.36,1232.33,4136.48,4.23,1.39,5,2.3,19,442.7,71.12,371.58,10.19,1.55,0.31,4,1,0.27,2.84,10.19,3.19,23.53,4
23.325,4.28441,61.2,1296.98,4543.65,4.52,1.38,5,2.27,19,443.18,71.37,371.81,10.96,1.53,0.29,4,1,0.27,2.81,10.96,3.19,24.15,4
23.35,4.62669,68.94,1241.46,4874.83,4.78,1.42,5,2.26,19,443.65,71.61,372.04,11.64,1.57,0.26,4,1,0.27,2.79,11.64,3,24.53,4
23.375,4.70373,73.54,1024.26,4908.46,4.89,1.48,5,2.26,19,444.13,71.86,372.27,11.93,1.62,0.23,4,1,0.27,2.79,11.93,2.72,24.54,4
23.4,4.67769,73.92,990.71,4875.71,4.83,1.53,5,2.28,19,444.6,72.1,372.5,11.77,1.69,0.21,4,1,0.27,2.8,11.77,2.45,24.23,4
23.425,4.50915,74.3,941.17,4697.27,4.79,1.55,5,2.28,19,445.08,72.35,372.73,11.66,1.71,0.2,4,1,0.27,2.81,11.66,2.33,24.09,4
23.45,4.6275,74.68,886.24,4804.64,4.81,1.67,5,2.3,19,445.55,72.59,372.96,11.71,1.85,0.16,4,1,0.27,2.82,11.71,1.9,23.7,4
23.475,4.8321,92.77,517.09,4935.46,5,1.82,5,2.31,19,446.03,72.84,373.19,12.2,2,0.1,4,1,0.27,2.83,12.2,1.16,23.5,4
23.5,5.22855,106.12,115.66,5251.67,5.29,1.89,5,2.3,19,446.5,73.08,373.42,12.98,2.06,0.05,4,1,0.27,2.81,12.98,0.69,23.76,4
23.525,5.625,100.73,361.6,5697.28,5.71,1.92,5,2.28,19,446.98,73.33,373.65,14.09,2.08,0.03,4,1,0.27,2.78,14.09,0.47,24.26,4
23.55,6.12861,121.32,264.67,6181.51,6.14,1.96,5,2.27,19,447.45,73.58,373.88,15.22,2.11,0.03,4,1,0.27,2.76,15.22,0.43,24.69,4
23.575,6.522,138.56,78.19,6537.63,5.95,2.24,5,2.31,19,447.93,73.82,374.1,14.72,2.42,0.04,4,1,0.27,2.81,14.72,0.64,23.4,4
23.6,5.02366,140.07,597.92,5143.17,5.63,2.48,5,2.36,19,448.4,74.07,374.33,13.85,2.7,0.05,4,1,0.27,2.85,13.85,0.69,22.22,4
23.625,5.15957,140.84,319.51,5223.43,5.54,2.53,5,2.37,19,448.88,74.31,374.56,13.58,2.76,0.09,3,1,0.27,2.87,13.58,1.17,21.95,2
23.65,6.1191,140.05,617.74,6242.57,6.38,2.19,5,2.29,19,449.35,74.56,374.79,15.84,2.36,0.04,4,1,0.27,2.77,15.84,0.7,24.07,4
23.675,7.6733,138.91,73.58,7688.01,6.67,2.14,5,2.27,19,449.83,74.8,375.02,16.59,2.29,0.03,4,1,0.27,2.75,16.59,0.49,24.61,4
23.7,6.06378,149.18,84.07,6080.58,6.32,2.43,5,2.32,19,450.3,75.05,375.25,15.63,2.62,0.01,4,1,0.27,2.8,15.63,0.21,23.11,4
