Depth (m),qc (MPa),fs (kPa),u (kPa),Other,qt (MPa),Rf (%),SBT,Ic SBT,γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',vo (kPa)",Qt1,Fr (%),Bq,SBTn,n,Cn,Ic,Qtn,u (kPa),U2,I(B),Mod. SBTn
1.75,0.68436,21.62,66.51,697.65,0.68,3.23,3,3.16,19,33.25,7.36,25.89,25.11,3.4,0.09,4,0.91,3.42,2.75,22.26,66.51,2.29,22.15,5
1.775,0.65041,22.58,61.9,662.78,0.68,3.24,3,3.16,19,33.73,7.6,26.12,24.76,3.41,0.08,4,0.91,3.4,2.76,22.02,61.9,2.09,22.07,5
1.8,0.66948,21.95,58.27,681.13,0.67,3.4,3,3.18,19,34.2,7.85,26.35,24.06,3.59,0.08,4,0.92,3.41,2.78,21.64,58.27,1.92,21.43,3
1.825,0.65003,23.72,54.84,660.99,0.66,3.5,3,3.19,19,34.68,8.09,26.58,23.62,3.7,0.07,4,0.93,3.41,2.79,21.39,54.84,1.76,21.06,3
1.85,0.63476,23.93,51.6,645.07,0.65,3.62,3,3.2,19,35.15,8.34,26.81,22.87,3.83,0.07,3,0.93,3.41,2.81,20.91,51.6,1.63,20.6,3
1.875,0.62943,22.77,49.34,639.29,0.65,3.59,3,3.2,19,35.63,8.58,27.04,22.71,3.8,0.07,3,0.93,3.38,2.81,20.78,49.34,1.55,20.66,3
1.9,0.65459,23.29,50.33,664.65,0.66,3.51,3,3.19,19,36.1,8.83,27.27,22.73,3.72,0.07,3,0.93,3.35,2.8,20.76,50.33,1.53,20.9,3
1.925,0.65381,23.08,52.19,664.24,0.66,3.22,3,3.17,19,36.58,9.07,27.5,22.62,3.41,0.07,4,0.92,3.29,2.78,20.48,52.19,1.57,21.8,3
1.95,0.63626,17.27,54.45,647.14,0.64,3.03,3,3.16,19,37.05,9.32,27.73,21.81,3.21,0.07,4,0.92,3.26,2.78,19.72,54.45,1.63,22.29,5
1.975,0.60307,17.92,56.6,614.38,0.62,2.9,3,3.17,19,37.53,9.56,27.96,20.7,3.09,0.08,4,0.92,3.25,2.78,18.79,56.6,1.68,22.47,5
2,0.57522,18.5,58.86,586.99,0.59,3.13,3,3.2,19,38,9.81,28.19,19.6,3.35,0.09,4,0.94,3.28,2.82,18.1,58.86,1.8,21.52,3
2.025,0.55691,19.05,66.22,570.15,0.6,3.05,3,3.19,19,38.48,10.06,28.42,19.75,3.26,0.15,4,0.93,3.24,2.81,18.18,66.22,2.92,21.8,3
2.05,0.61143,17.32,153.92,642.2,0.63,2.84,3,3.16,19,38.95,10.3,28.65,20.5,3.03,0.2,4,0.92,3.17,2.78,18.63,153.92,4.02,22.64,5
2.075,0.63545,17.05,156.57,666.75,0.74,2.55,3,3.07,19,39.43,10.55,28.88,24.41,2.69,0.21,4,0.89,3.03,2.7,21.38,156.57,5.13,24.6,5
2.1,0.89066,22.58,165.69,923.78,1.02,2.31,3,2.93,19,39.9,10.79,29.11,33.77,2.4,0.16,4,0.85,2.84,2.58,27.95,165.69,5.4,27.67,5
2.125,1.44189,31.23,181.39,1478.15,1.36,2.09,4,2.8,19,40.38,11.04,29.34,44.94,2.16,0.11,5,0.81,2.68,2.47,35.39,181.39,5.09,31.01,5
2.15,1.6475,31.54,133.71,1674.23,1.61,2,4,2.73,19,40.85,11.28,29.57,53.11,2.05,0.07,5,0.78,2.59,2.41,40.72,133.71,3.94,33.04,7
2.175,1.66772,33.85,68.57,1681.43,1.68,2.12,4,2.73,19,41.33,11.53,29.8,55.06,2.17,0.04,5,0.78,2.58,2.41,42.35,68.57,2.47,32.31,7
2.2,1.67992,41.55,52.68,1690.45,1.69,2.37,4,2.76,19,41.8,11.77,30.03,54.98,2.43,0.03,5,0.79,2.6,2.44,42.91,52.68,1.45,30.35,5
2.225,1.69786,45.04,44.34,1706.72,1.7,2.6,4,2.78,19,42.28,12.02,30.26,54.9,2.67,0.02,4,0.8,2.61,2.46,43.38,44.34,1.16,28.72,5
2.25,1.70396,46.47,44.44,1712.84,1.72,2.7,4,2.78,19,42.75,12.26,30.49,55,2.77,0.02,4,0.81,2.61,2.47,43.71,44.44,0.97,28.1,5
2.275,1.7318,47.92,37.08,1739.21,1.69,2.5,4,2.77,19,43.23,12.51,30.72,53.6,2.57,0.01,5,0.8,2.58,2.46,42.42,37.08,0.77,29.3,5
2.3,1.61202,32.41,26.88,1617.39,1.63,2.23,4,2.75,19,43.7,12.75,30.95,51.41,2.29,0.01,5,0.8,2.54,2.44,40.45,26.88,0.52,31.02,5
2.325,1.54336,28.99,22.27,1547.81,1.53,1.98,4,2.75,19,44.18,13,31.18,47.7,2.04,0.01,5,0.79,2.52,2.44,37.48,22.27,0.33,32.41,7
2.35,1.42472,29.66,20.31,1428.78,1.36,2.11,4,2.81,19,44.65,13.24,31.41,41.91,2.19,0.01,4,0.81,2.57,2.49,33.78,20.31,0.23,30.44,5
2.375,1.10276,27.65,18.54,1106.47,1.12,2.65,3,2.93,19,45.13,13.49,31.64,33.98,2.76,0.01,4,0.86,2.69,2.61,28.87,18.54,0.18,25.98,5
2.4,0.82123,31.61,18.84,825,1.01,2.84,3,2.98,19,45.6,13.73,31.87,30.24,2.98,0.01,4,0.88,2.73,2.66,26.32,18.84,0.25,24.49,5
2.425,1.09055,26.76,27.96,1096.14,1.05,2.49,3,2.94,19,46.08,13.98,32.1,31.25,2.61,0.01,4,0.86,2.67,2.62,26.74,27.96,0.47,26.3,5
2.45,1.21834,20.08,40.12,1226.36,1.22,1.91,4,2.82,19,46.55,14.22,32.33,36.19,1.99,0.02,4,0.82,2.53,2.51,29.59,40.12,0.68,30.73,5
2.475,1.31826,22.91,40.32,1326.32,1.34,1.74,4,2.76,19,47.03,14.47,32.56,39.85,1.8,0.02,5,0.8,2.46,2.46,31.91,40.32,0.79,32.89,7
